,bathrooms,public_remarks,room type,areacode,price,parking_space,property_type,bedroom,spareroom,city,province,address
10,1,"Beautiful Bright And Spacious Furnished Bedroom In A Townhouse Shared With Students. Very Clean And Updated Townhouse. Close To All Amenities Including Public Transit, Groceries, Shopping, Community Centres Etc.**** EXTRAS **** Tenants To Share Utilities- Approximately 30% (29509599)",bedroom,416,800,0.0,Single Family,1,0,Toronto, Ontario M2R3K7,3 RED ROBIN WAY
11,1,"A Great Basement Rental, No Sep Entrance, Prefer A Student Or A Single Person, An Open Room, Kitchenette, Bathroom, Closet And Laundry Facilities.**** EXTRAS **** Parking Possible. (29520755)",basement,416,800,0.0,Single Family,0,0,Oshawa, Ontario L1G7L1,#110 (B) -1330 TROWBRIDGE DR
12,2,"All Upper Level 3 Br For Lease , Shared Kitchen And Common Area With Landlord . You Can Rent 1 , 2 , 3 Rooms Flexibly. .... Lovely 5 Level Backsplit At Markham/Nugget. 3 Spacious Bedrooms, Formal Dining Room Overlooks Living Room With Walk-Out To Huge Deck In Backyard. Lower Level Family Room With Fireplace & Wet Bar. Newer Roof Shingles, Windows, Furnace & Air Cond. Steps To Ttc, Mosque,**** EXTRAS **** Tenant And Agent Verify All Info Please (29499408)",bedroom,647,800,2.0,Single Family,1,0,Toronto, Ontario M1B1R6,#ROOM -44 APPLEMORE RD
13,1,"Great Location, Pleasant View Family Neighborhood. Vacant & Separate Entrance Basement Apartment For Rent. Brand New Kitchen And Washroom,  Move-In  Condition. Close To Seneca College, Shopping Centre, Fairview Mall, Park, Community Centre. Top Ranking Cherokee Ps. Easy Access To Ttc & Hwy404. Must See. This Is One Bedroom Only, Share The Kitchen And Washroom.**** EXTRAS **** Use Of All Existing: Fridge, Stove, Rang Hood, B/I Dishwasher, Washer, Dryer. 1/4 Utility With Upper Level Owner (29352083)",basement,905,800,0.0,Single Family,1,0,Toronto, Ontario M2H2J8,235 CHEROKEE (LOWER) BLVD
14,1,"Bedroom For Lease In A New Home In Popular North Area. Price Is $850, All Inclusive. Female Tenant Preferred. Tenant  Will Share The 3 Pc Bath, 2nd Floor Laundry, Kitchen & Common Areas (Which Will Be Furnished). Parking Spot Available For Each Tenant. Utilities Included.**** EXTRAS **** Located Close To Schools, Parks, 407, Shopping. Suitable For Professional, Mature Individual. (29433351)",bedroom,905,850,2.0,Single Family,1,0,Oshawa, Ontario L1L0M4,2556 CRAFTSMAN DR
15,2,"2nd Bedroom For Rent, Only For 1 Person; Rent Includes All Utilities Except Internet (Tenant Can Pay Addition $50.00 As Option For Access To Unlimited Internet Use); Tenant To Share All Living Amenities (Incl. Washer/Dryer) With The Landlord. No Parking Slot Available.**** EXTRAS **** Fully-Furnished (29513523)",bedroom,905,850,0.0,Single Family,1,0,Mississauga, Ontario L5B3Y8,#1101 RM -25 FAIRVIEW RD W
16,1,"Spotless Large 1 Bedroom For Rent In Prime Central Location. Shared Bath, Shared Kitchen & Laundry, 1 Parking, High Speed Internet And Cable Included. Very Quiet Well Maintained Home! Furnished With Bed And Dresser. Suitable For Professional.  Safe Quiet Area. Owner Occupies Other Room. Quiet Spotless Home!!**** EXTRAS **** Recent Proof Of Employment Income, Photo Id & Recent Credit Report Required. 1st & Last Deposit. Non Smokers, No Pets, Suits 1 Person Only, Short Term Preferred (29471356)",bedroom,416,875,1.0,Single Family,1,0,Mississauga, Ontario L5M3R4,1722 PRINCELEA PL
17,1,"Bright & Spacious 1 Bed, 1 Bath Basement @ Ching/Botavia. Recently Renovated & Updated W/ Premium & Modern Finishes. Gorgeous, Contrasting Laminate Throughout. Separate Kitchen W/ Large Counter, Window & Brand New Stove! Modern Bath W/ Stand Up Tiled Shower W/ Potlight, Vanity & Alcove. Large Living/Dining Rms W/ Laminate, Window & Open Concept Design. Ideal Location - Sandalwood/Ching, Minutes To Parks, Groceries, Restaurants & Transit. Move-In Ready!!**** EXTRAS **** Fridge, Stove, Washer, Dryer. (29666944)",basement,416,899,1.0,Single Family,1,0,Brampton, Ontario L7A3N8,#LOWER -40 TRUMPET VALLEY BLVD
18,1,"Seperate Entrance  Whole Basement For Exclusively Use. One Bedroom, One Washroom, With Cooking Space And Recreation Space, Great Location, Walk To Ttc And Sheppard Subway Station, Close To Shopping Center, Earl Haig School Zone, (29584752)",basement,647,900,0.0,Single Family,1,0,Toronto, Ontario M2N3B9,#LOWER -166 MAPLEHURST AVE
19,1,"Beautiful 1 Bedroom Basement Apt In Prestigious Amberlea Community, With Separate Entrance. Easy Access To Hwy 401/407, Transit, Shopping, Parks, Schools And Banks. Fully Renovated Washroom, Shared Entrance With 2nd Apartment.**** EXTRAS **** Hydro, Water And Gas Included. New Fridge, Gas Stove, Shared Washer And Dryer And 1 Car Parking, All Existing Light Fixtures. Non-Smoker. No Pets - Landlord Is Allergic. Back Is Exclusive Use For The Landlord. (29630791)",basement,416,900,0.0,Single Family,1,0,Pickering, Ontario L1V7A6,#A -1881 WILDFLOWER DR
20,1,"Great Opportunity To Rent A Fully Renovated Brand New Room In Prime Old Cabbagetown 3 Storey Detached Property. High Ceiling, Large Window, High-Speed Internet, Fitness Room, Gaming/Tv Room, Laundry Room, Modern Kitchen For Each Fl, New Bathroom, 2nd & 3rd Fl Deck, All Inclusive Rent. Occupancy Immediate Or Tba, Desirable Downtown Living, Minutes To Subway, Public Transportation, Coffee Shop, Restaurant, Supermarket, Hospital, All Amenities, And More**** EXTRAS **** Brand New(6 Months Old) Very Conveniently Equipped And Designed. Ideal For Students, Professionals, Downtown Lovers, Hi-Speed Internet, Hydro, Water, Heating, Cooling Included (29575600)",bedroom,416,900,0.0,Single Family,1,0,Toronto, Ontario M5A2L1,#305 -206 CARLTON ST
21,1,"Located Close To The Go Station At Weston And Lawrence. Go Train, Ttc, Cab, Library, Schools, Mall, Shops, Easy Access. Shared Kitchen, Washroom And Laundry**** EXTRAS **** Please Provide The Ontario Standard Rental Application Lease Agreement, Full Credit Report With Score. Twelve Post Dated Cheques, Job Letter, 2 Most Recent Pay Stubs & References (29561019)",upper-unit,905,900,1.0,Single Family,1,0,Toronto, Ontario M9N2B2,#UPPER -31B SOUTH STATION ST
22,1,"Very Bright And Clean Bachelor Apartment In The Heart Of Newmarket, Close To Mall, Go Station, Restaurants And Banks, Walk Out To Back Yard, Entrance Through The Garage, Tenant To Pay 1/3 Of Hydro And Gas, Credit Report & Rental App & Lease Agreement & Employment Letter & First And Last Bank Draft Is Required With Offer,**** EXTRAS **** Small Fridge, Stove, Hood Fan, (29663140)",apartment,416,950,0.0,Single Family,0,0,Newmarket, Ontario L3X3C2,#BSMT -173 GAIL PARKS CRES
23,1,"Clean Basement Apartment With Direct Above Ground Entrance From Driveway. Main-Floor Is Owner Occupied. Ideal 1 Bedroom Apartment For Single Female Tenant Without Pets. Above Ground Windows For Natural Light.Next To Park And Near Mill Pond And Hospital. No Children In House, Upstairs Owner Allergic To Pets.Safe And Quiet Neighbourhood. Walk To Yonge Street Shops And Subway Bus.**** EXTRAS **** Monthly Rent Plus $120 (Flat Fee) To Cover Heat & Hydro & Water. Use Of Fridge, Stove, Microwave Included. Shared Use Of Washer & Dryer. One Parking Space On Driveway (Without Snow Removal). Access To Wifi Internet Included (29379430)",basement,905,999,0.0,Single Family,1,0,Richmond Hill, Ontario L4C4H7,174 DRISCOLL RD
24,1,"Great Location In The Heart Of North York, Great Schools, Minutes From Finch Subway And Highways. North York's Entertainment Centers. Spacious Kitchen. One Room On Main Floor Only. Kitchen, Living Room Share With Other Roommates. The Furnitures In The Pics Are All Included.**** EXTRAS **** Fridge, Cooktop & Fan Hood, Wash And Dry Machine. All Window Coverings & Electric Light Fixtures. (29444845)",bedroom,905,1000,2.0,Single Family,1,0,Toronto, Ontario M2N4R9,172 FINCH AVE
25,1,"Lovely Self-Contained Bachelor Basement Apartment With 3 Piece Washroom And Kitchenette. Private - Separate Entrance, Shared Laundry. 1 Parking Available. Shopping Plazas, School, Bus Stop All On Walking Distance. All Utilities Are Included. Landlord Prefers Single Person With Good Job And Credit. No Pets, No Smoking.**** EXTRAS **** Use Of Included Appliances Plus Washer And Dryer. (29333661)",apartment,416,1000,1.0,Single Family,0,0,Brampton, Ontario L7A3B4,#BSMT -140 CADILLAC CRES
26,1,"1 Bedroom Basement Apartment In The Highland Creek Neighbourhood. Close To University Of Toronto (Scarborough Campus) And Centennial College. Step To Ttc And Quick Access To Hwy 401. No Pets And No Smoking Allowed. Students Are Welcome.**** EXTRAS **** Tenant To Share 10% Of Landlord's Utilities (Water, Hydro, Heating). Cable Tv Included. Internet Not Included. No Parking. Shared Laundry. Submit Rental Application Form Along With Proof Of Income And Credit History Report. (29399659)",basement,416,1000,0.0,Single Family,1,0,Toronto, Ontario M1C4R8,#(#B1) -1 MUIRBANK BLVD
27,1,"Spacious 1 Bed, 1 Bath, Living /Kitchen, 600Sq Ft Basement For Lease. 1 Parking Spot. Steps To Ttc, Yrt, 407, Walmart, No Frills, Parks, Restaurants, Banks And So Much More! ******* EXTRAS **** Fridge, Stove,Hood Fan, Microwave, Washer And Dryer,Internet(High Speed Wifi Included), Tenants Will Pay 50% Of The Water And Electricity Bill.All Furnitures In The Picture Are Not Included. (29598149)",basement,416,1000,1.0,Single Family,1,0,Markham, Ontario L3S4P1,70 BILLINGSLEY CRES
28,1,1Br Dedicated Bath. Bigger Unit .Utility Inclusive .**** EXTRAS **** Tenant And Agent Verify All Info Please (29280462),basement,647,1000,0.0,Single Family,1,0,Markham, Ontario L3S3J5,#ROOM1 -40 RYLER WAY
29,1,"Newly Renovated One Bed Room Rental With Washroom & Shared Kitchen, Living Room & Upstairs Laundry With Owner. Students Are Welcome To This Beautiful House. All Bedrooms Very Good Size. Location Walk To Uft Scarborough Campus, Close To Centennial College, Schools, Rec Center, Library, Easy Access To Hwy 401, Transit, Shopping, Conservation Areas, And Parks. No Smoking, No Pets. Wifi Internet, & Hydro/Utilities Included. Only Available For Women.**** EXTRAS **** Shareable Appliances. Pls Read Covid-19 Precautions. (29632143)",bedroom,416,1000,0.0,Single Family,1,0,Toronto, Ontario M1C4Y7,#3 -19 MIRROW CRT
30,1,"Welcome To This Open Concept Studio Apartment In The Heart Of Corso-Italia. Newly Renovated With Stainless Steel Appliances, 3Pc Bathroom And 2 Wardrobe Cabinets. Steps To St Clair Ave W, Subway, All Amenities, Schools, Shops, Restaurants, Parks & More!**** EXTRAS **** Included: S/S Fridge, S/S Stove, Washer/Dryer (To Be Installed), Elfs And Window Coverings, **No Pets And No Smoking** **Tenant Pays 25% Of Utilities** (29645287)",bedroom,905,1000,0.0,Single Family,0,0,Toronto, Ontario M6E1M4,#BASEMEN -144 MORRISON AVE
31,1,"Stunning End Unit Townhome. Cater For One Person Basement Apartment. One Parking For Small Car. One Great Room Including Kitchen & One Separate Bedroom. 3-Pcs Washroom. Separate Entrance. Lots Of Cabinets For Storage. Quiet Environment & Good Neighborhood. Minutes To Go Train Station, Public Transit, Plaza & Schools. Utilities Fee Split, Tenant Is Responsible For 1/3 Of Utilities Fees. No Job For Grass Butting & Snow Removal. No Pets And Non-Smokers.**** EXTRAS **** Existing Appliances: Stove, Fridge, Range Hood, Shared Washer/Dryer. (29633868)",basement,905,1020,0.0,Single Family,1,0,Markham, Ontario L6E1W7,11 HARRY BLAYLOCK(BSMT) DR
32,1,"Lower Level Private Studio Apartment At Top Rated Cornell Community. Professionally Finished With Full Kitchen, 4 Piece Bath With Laminate Floors. No Parking. Street Permit Available City Of Markham. * Steps To Community Centre, Library, Public Transit, Hospitals ***** EXTRAS **** Fridge, Stove, Bi-Microwave. Shared Laundry. Ideal Only For Single Person( Example: Hospital Nurse). Sep. Entrance Through Rear Of Townhome. Utilities Shared 25% Lower. (29641951)",basement,416,1050,0.0,Single Family,0,0,Markham, Ontario L6B1P8,#LOWER -153 RUSTLE WOODS AVE
33,1,"East Of Bathurst North Of Carvill, Separate Ensuite Washer & Dryer. Sep Entrance, 1 Parking On Driveway, Close To All Amenities, Shopping, Restaurants, Bus Stop Is Just Less Than A Minute Away Walking Distance. Furniture Can Be Included Or Removed,**** EXTRAS **** Sep Washer & Dryer, Cooktop, Fridge, Tenant Responsible For 1/3 Hydro (29446000)",basement,905,1050,0.0,Single Family,0,0,Richmond Hill, Ontario L4C5W6,#BSMT -51 MICHAEL DR
34,1,"Great Opportunity To Rent A Fully Renovated Brand New Room In Prime Old Cabbagetown 3 Story Detached Property. High Ceiling, Large Window, High-Speed Internet, Fitness Room, Gaming/Tv Room, Laundry Room, Modern Kitchen For Each Fl, New Bathroom, 2nd & 3rd Fl Deck, All Inclusive Rent. Occupancy 12/1/2021, Desirable Downtown Living, Minutes To Subway, Public Transportation, Coffee Shop, Restaurant, Supermarket, Hospital, All Amenities, And More.**** EXTRAS **** Very Conveniently Equipped And Designed. Ideal For Students, Professionals, Downtown Lover. For Female (29302825)",bedroom,416,1050,0.0,Single Family,1,0,Toronto, Ontario M5A2L1,#204 -206 CARLTON ST
35,1,"Absolutely Stunning Basement Apartment, Sensible Solar Bright Throughout, Ideal For A Couple And Family. Central Heated And Central Air Conditioning, Very Comfortable Living, Ready To Move-In.  Numerous Pot Lights, Separate Entrance, One Car Parking In Driveway.**** EXTRAS **** Fridge, Stove, Shared Washer & Dryer, 3 Pc Sofa, Two Side Tables,  3 Window Blinds (29482931)",basement,905,1050,1.0,Single Family,1,0,Markham, Ontario L3S3G2,#BSMT -33 KETCHUM CRES
36,1,"Landlady Looking For Aaa Single Female Tenant (No Exceptions). Good Credit & Employment A Must. Self Contained 1 Bedroom Basement Apartment W Separate Entrance In Excellent Location. Clean And Ready To Move In. Walking Distance To Steeles & Bathurst. Shopping & Ttc. Covered Separate Entrance And Shared Laundry. 4Pc Bath, Legal And Fire Dept. Retrofitted. Unit Is Furnished As Seen In The Mls Photos.**** EXTRAS **** Included For Tenant's Use: Fridge, Stove, Microwave, Shared Laundry & Furnishing. No Pet. No Smoke. Tenant To Pay $100 Monthly For Share Of Utilities. No Parking Available. Min.1 Year Lease! (29477309)",basement,416,1100,0.0,Single Family,1,0,Vaughan, Ontario L4J6S6,63 THURMAN RD
37,1,"Prime Location, 2 Bedrooms, Very Practical Layout, Close To Bus Station& Highway401, Minutes To Public Transit, Shopping, Malls& All Amenities. Adjacent To Snowhill Park! Please Note That The Kitchen Area And Laundry Are Shared With The Landlord Upstairs.**** EXTRAS **** Fridge, Stove, Range Hood, Washer & Dryer (Shared), Central Air-Conditioner, All Elf's, All Window Coverings Tenant Pays 30% Utilities. (29385022)",basement,416,1100,0.0,Single Family,2,0,Toronto, Ontario M1S3X2,##BSMT -53 TERRYHILL CRES
38,1,"Unbeatable Location In Vaughan By Walk To Top Ranked Schools, Parks, Trails, Hospital, Vaughan Mills, Wonderland. Mins To 400 And 407. ***No Pets And No Smoking.*** Utilities Are Included. Furnished Unit (Includes Bed And A Sofa).**** EXTRAS **** Stove, Fridge, Washer,& Dryer(Shared). (29391113)",bedroom,647,1100,1.0,Single Family,1,0,Vaughan, Ontario L6A2W7,22 GIANCOLA CRES
39,1,"Small 1 Bedroom / Bachelor Suite. Freshly Painted, Nice And Clean. Quiet Neighborhood. No Parking. Tenant Responsible For Snow Removal Of Walkway.**** EXTRAS **** Existing: Stainless Steel Fridge, Stainless Steel Stove, All Electric Light Fixtures, All Window Blinds, (Shared Washer & Dryer) All Belonging To The Landlord. (29593104)",basement,905,1100,0.0,Single Family,1,0,Toronto, Ontario M9M2A4,#LOWER 1 -5 IRONWOOD RD
40,1,"Great Opportunity To Rent A Fully Renovated Brand New Room In Prime Old Cabbagetown 3 Storey Detached Property. High Ceiling, Large Bay Window, High-Speed Internet, Fitness Room, Gaming/Tv Room, Laundry Room, Modern Kitchen For Each Fl, New Bathroom, 2nd & 3rd Fl Deck, All Inclusive Rent. Occupancy Immediate Or Tba, Desirable Downtown Living, Minutes To Subway, Public Transportation, Coffee Shop, Restaurant, Supermarket, Hospital, All Amenities, And More**** EXTRAS **** Very Conveniently Equipped And Designed. Ideal For Students, Professionals, Downtown Lover. For Female (29333775)",bedroom,416,1100,0.0,Single Family,1,0,Toronto, Ontario M5A2L1,#201 -206 CARLTON ST
41,1,"Renovated Bachelor Suite With Separate Laundry ,Kitchen And Washroom,All Utilities Included. Located  In Desirable Child-Safe Crt Close To Bayview Ave.Suitable For A Single Professional Or A Couple.No Pet No Smoker. 1100 $ Without Parking 1150 $ With Parking.**** EXTRAS **** Fridge,Stove,Washer Dryer,Microwave (29623853)",basement,905,1100,1.0,Single Family,0,0,Aurora, Ontario L4G7N6,#(BSMNT) -19 ALDER GRVE
42,1,Walk Up Basement With One Bedrooms. One Washroom.Move In Ready Home. Located In A Well Established Family Neighbourhood. Walking Distance To Bus Stops And Top Rated Richmond Hill High School**** EXTRAS **** Fridge . Stove . Washer/Dryer ( Share) . 15% Of Total Utility. (29474668),basement,416,1100,1.0,Single Family,1,0,Richmond Hill, Ontario L4S1E5,U 01 34 COLDSTREAM CRES
43,1,"Welcome To 389 Ashdale Ave. This One Bedroom Basement Apartment In The Heart Of Coxwell And Gerrard. Open Concept Living Area And Storage Room In Bedroom. Minutes To Restaurants, Schools, Parks, And Grocery Store. Situated Right In-Between Woodbine Beach And The Danforth. Surrounded By 2 Parks And Close To Rodan Public School.**** EXTRAS **** Includes Fridge, Stove, New Washer And Dryer. (29592943)",basement,416,1100,0.0,Single Family,1,0,Toronto, Ontario M4L2Z3,#BSMT -389 ASHDALE AVE
44,1,"Basement Apartment In High Demand Area! Modern Laminate Flooring Throughout Whole Floor. 1 Driveway Parking Included. Steps To Bayview Secondary School W/I.B Program. Close To Catholic Public French School. Walking Distance To Public Transit, Shopping And All Amenities.**** EXTRAS **** All Elfs, Fridge, Stove, Washer, Dryer, Window Coverings, Cac. Tenant Pays Additional Utilities $150 Per Month (Hydro, Gas, Water & Hot Water Tank Rental). A++ Tenant Only! No Smoking/Pets. (29415311)",basement,905,1150,3.0,Single Family,1,0,Richmond Hill, Ontario L4C1B7,#BSMT -406 CENTRE ST E
45,1,"Excellently Located Basement Bachelor Suite With Private Separated Entrance, Recently Renovated,This Clean And Spacious Basement Apartment Comes Fully Equipped Kitchen Except Oven, Onsuite Laundry. Combined Living/Bedroom With 4 Pc Bathroom, Perfect For Single Quiet Professional. All Utilities Included Except Internet.**** EXTRAS **** No Pets, No-Smoking And/Or Vaping, Single Female Tenant Only, All Appliances Shown In Photos Are Included For Tenant's Use.Public Indoor Parking Available Near By. (29638577)",basement,416,1150,0.0,Single Family,1,0,Toronto, Ontario M6H2N1,#BSMT -146 ROSEMOUNT AVE
46,1,"Lower: Prime East York Location! Well Maintained, Bright And Spacious Unit Within Walking Distance To Shops At Coxwell Village & Nearby Danforth. Walk To Hospital! Easy Access To Subway / Dvp / The Beach.**** EXTRAS **** Steps To Gorgeous Taylor Creek Park With Miles Of Paved Nature Trails That Weave Throughout The City. Street Parking Option. Amazing Shopping Nearby. Quick Closing Possible. Utilities Extra. Includes Fridge, Stove, Washer (29388711)",basement,416,1150,0.0,Single Family,0,0,Toronto, Ontario M4C3A4,#LOWER -617 O'CONNOR DR
47,1,"Nice And Clean, One Bedroom Bsmnt Apartment At Leslie & Finch,Separate Entrance- 100% Non-Smoker Located In A Friendly And Quiet Neighborhood.High-Speed Wireless Internet .Walking Distance To Seneca Collage, Canadian Memorial Chiropractic College (Cmcc) & Canadian College Of Naturopathic Medicine (Ccnm).**** EXTRAS **** Fridge, Stove (29431394)",basement,416,1150,0.0,Single Family,1,0,Toronto, Ontario M2J2W9,185 ANGUS DR
48,1,"(Min 4 Month)Furnished Renovated Bachelor With Brand New Furniture, Separate Entrance, Quiet Street Walking Distance To Bayview & Elgin Mills. Close To Park, Bayview S School Zone! Great Neighborhood! Mins To Go Train, Close To Restaurants, Cafes, Shops, Schools & Hwy. Tenant Insurance Needed. Tenants To Pay 25% Of All Utility Bills (Water, Heat, Hydro). No Pet No Smoker.Landlord Prefer One Professional Person.500 Key Deposit**** EXTRAS **** Fridge,Stove,Microwave/Hood,Shared Washer And Dryer,Existing Window Covering (29437548)",basement,905,1150,0.0,Single Family,0,0,Richmond Hill, Ontario L4C2X7,#BSMNT1 -214 BEECHY DR
49,1,"Spacious And Recently Renovated 1 Bed Lower Level Apartment Available With Private Rear Entrance! Unit Includes An Ensuite Private Laundry Room, Storage Closet, And Small Additional Room Perfect For A Home Office Space. Also Features: Fridge, Gas Stove, Full-Size Washer & Dryer. Utilities Are All Included! Great Location Close To Shops, Schools, Restaurants, Easy Ttc Access And More!**** EXTRAS **** No A/C. Tenant Is Responsible For Snow Removal On Steps & In Front Of Unit Entrance. Use Of Backyard Is Not Included. Street Parking Available By Permit Only (29452939)",basement,416,1175,0.0,Single Family,1,1,Toronto, Ontario M6N2B6,#BSMT -67 LAVENDER RD
50,1,"** Location, Location, Location!!! ** Just Steps To Bayview Ave ** Close To Steeles/Cummer (10-15 Mins Walk To Steeles Ave) ** Private Washroom, Shared Kitchen In The Main Floor And Fridge In The Basement ** Heat, Hydro, Ac, Tv., Internet, Laundry And One Outdoor Parking Are Included ** 2 Rooms For One Tenant Is Only $1,180 ** Two Rooms For A Couple Or Direct Family Member Is $1,350 ****** EXTRAS **** Partial Furnished. ** Please See Schedule B For Furniture Details. (29389988)",basement,416,1180,0.0,Single Family,2,0,Toronto, Ontario M2M3P7,#2 BRS -9 RUBICON CRT
51,1,"Fully Renovated & Freshly Painted For You! Just Steps To Ttc Bus And A Few Mins Away From Pape Subway Station & The Danforth! Community Center W/Pool Steps Away, Shoppers Drug Mart, Grocery Shopping, Convenience Store, Banks, Restaurants, Cafes, Centennial College & More All Along Pape Avenue For You.**** EXTRAS **** Tenant To Include Letter Of Employment, Rental Application Form, Equifax Credit Score W/ First & Last Month's Rent Upon Acceptance Of Offer. Tenant To Pay Only 30% Of Water. Laundry Is Shared. Must See! (29392486)",basement,416,1195,0.0,Single Family,1,0,Toronto, Ontario M4J2P4,#LOWER -207 GAMBLE AVE
52,1,"Bachelor Studio Apartment For Rent, Good For Couple Or Single. Preferred Working People Or Students. Available Immediately. Located At North Oshawa Near Walmart, Shopping Center And Tim Hortons. Close Distance To 401/407. Bus Stop Nearby At Grand Ridge And Harmony.**** EXTRAS **** Freshly Painted And Comes With Fridge, Stove, Microwave And Toaster. Not Only That, Utilities Included. (29509804)",basement,416,1199,0.0,Single Family,1,0,Oshawa, Ontario L1K2Y9,#BSMT -1094 SONGBIRD DR
53,1,"Bottom Portion Only: Access Via Garage For Privacy, One Bed For Lease, Renovated Kitchen/Bath & Located Next To Highway 410. Ideal Location For Working Professionals Or A Couple To Live In Most Desirable Area Of Brampton. Main Floor Rented Sep. One Parking Space Will Be Provided. Tenant Will Pay 30% Of The Utility+Hw Tank Rent.**** EXTRAS **** Fridge, Stove, (Washer/Dryer To Be Shared); (29483034)",basement,416,1199,0.0,Single Family,1,0,Brampton, Ontario L6Z0C9,#BSMT -163 HEARTVIEW RD
