,PublicRemarks,Bedrooms,Building_Type,Address,LeaseRent,Property_Type,OwnershipType,ParkingSpaceTotal
10,"1 Bedroom Basement Apartment In The Highland Creek Neighbourhood. Close To University Of Toronto (Scarborough Campus) And Centennial College. Step To Ttc And Quick Access To Hwy 401. No Pets And No Smoking Allowed. Students Are Welcome.**** EXTRAS **** Tenant To Share 10% Of Landlord's Utilities (Water, Hydro, Heating). Cable Tv Included. Internet Not Included. No Parking. Shared Laundry. Submit Rental Application Form Along With Proof Of Income And Credit History Report. (29847026)",1,House,"#(#B1) -1 MUIRBANK BLVD|Toronto, Ontario M1C4R8",$950/Monthly,Single Family,Freehold,
11,"10 Acres Vacant Land For Lease In Melancthon. 330 Ft X 1,320 Ft Lot Size. Zoned Ec And Agricultural. Culvert In Place. Softwood Brush. Suitable For Recreation, Hunting, Etc.**** EXTRAS **** Tenants Would Need To Verify Suitability For The Site On Their Own. Need To Be Verified By Township And Other Authorities. Info Displayed Should Be Independently Verified. (29826268)",,,"0 PTLT9 CON6 5TH LN SW|Melancthon, Ontario L9V2C0",$990/Monthly,Vacant Land,,
12,"Outside Storage Land Lease Opportunity. Flexible Sizes, Up To 2 Acres. Prime Outside Storage $1000.00 Per Month Per Half Acre. Immediate Access To Hwys 48. Clean Use Only. Possible Fenced & Lighting For Lease Area. Tenant Shall Be Responsible For Own Leased Area Site Maintenance (Snow And Salt). One Minute To Highway 48. (29439211)",,,"533 PEFFERLAW RD|Georgina, Ontario L0E1N0","$1,000/Monthly",Vacant Land,,
13,"In High Demand North York Neighborhood, 2 Bedroom Bsmt Apt W/Family Room, Separate Entrance. Perfect Location. One Room Of The Basement Is For Lease. Shared Kichen And Washroom. Shared Laudury. Steps To Ttc, Shopping,Hwy 404,Seneca College,Parks. Quick Bus Ride To Finch Subway. All Inclusive Utilities (Hydro, Internet,Cable)**** EXTRAS **** 1 Fridge, 1 Stove,  Washer,  Dryer. All Existing Light Fixtures. A Bed And A Table. (30465885)",1,House,"#BSMT A -138 ANGUS DR|Toronto, Ontario M2J2X1","$1,000/Monthly",Single Family,Freehold,3
14,"This Self Contained Bachelor Unit Is On A Lower Level, Large Windows, 4 Piece Bathroom, Separate Entrance, Completely Renovated, Freshly Painted. Excellent South Etobicoke Neighborhood Location. Ttc Is At The Door. Coin Laundry On Premises.**** EXTRAS **** Fridge, Stove (30377290)",0,Other,"#4 -75 EVANS AVE|Toronto, Ontario M8Z1H7","$1,050/Monthly",Single Family,,
15,"Renovated, Open Concept, 1 Bedroom Sharing Main Floor !!! Open Concept Living Space With A Private, Professionally Landscaped Backyard In Central Oakville. Stainless Steel Appliances, Pot Lights, Laundry ... Tenants Share Backyard, Shovel Own Parkings. Such A Beautiful Room Rare Offered On The Market!**** EXTRAS **** Offer Along With Credit Report, Rental Application & Employment Letter, Refs. Ontario Standard Lease Form *** New Comers And Students Welcome! Tenant To Pay 20% All Utilities And Hot Water Tank Rental. (30299010)",4 + 0,House,"5 ONSLOW CRT|Oakville, Ontario L6H1J1","$1,050/Monthly",Single Family,Freehold,
16,"Absolutely Immaculate One Bedroom Basement For Rent. Cable Tv, Wireless Internet Included, Laundry... Mins To Ttc, Dvp, Downtown, Shops, 5 Min Walk To Leslie Subway, Etc...Huge Basement All For Your Self **No Parking**Hot Plate Cooking**Shared Entrance**No Pets**None Smoker** Qualified Aaa Female Tenant Only...**** EXTRAS **** Fridge, Washer, Dryer, Wireless Internet, Cable Tv.. **Excellent Value** Tenant Pay 1/3 Utilities (30279244)",1 + 1,Row / Townhouse,Address not available,"$1,050/Monthly",Single Family,Condominium/Strata,
17,"*Professional Mature Single Lady Housemate Wanted* One Female Is Looking For A Quiet Lady Housemate To Share A Spacious House. A Large Master Bedroom With 4 Piece Ensuite Washroom Is For Private Use. Master Bedroom Is Furnished With Bed, Dresser, Bookcase & Desk.1 Parking Spot And A Small Private Garden To Grow Vegetables & Flowers.  Kitchen Is Shared With One Person. Light Cooking Only During Weekdays Till 5Pm As Landlord Is Working From Home In The Living Room.**** EXTRAS **** Excellent Location. No Pet & Non-Smoker. $75.00 Utilities (Water, Heat, Electricity, International Long Distance For 25 Countries, Unlimited Internet). Landlord Will Provide Laundry & Dishwasher Detergent & Cleaning Products. (30309550)",1,House,"#MBR -2031 WESTREE DR|Oakville, Ontario L6M3W3","$1,075/Monthly",Single Family,Freehold,
18,"Lovely 1 Bedroom Apartment In Historical House. Features Living/Dining Room, Kitchen, 3 Piece Bathroom, Shared Laundry, Shared Backyard. Steps To Ttc Bus, Restaurants, Library, Cultural Centre, Shops. Go Train Station, Groceries & Other Shopping Close By. Short Drive To Hwy 404. ***Ceiling Is Lower Than Normal*** Available Immediately.**** EXTRAS **** Includes - Fridge, Stove, Microwave, All Utilities. Tenants Pay For Internet, Cable Tv, Phone. Tenants To Inquire With City About Street Parking Permit. One Indoor Cat Allowed. No Dogs, No Smokers. (30435260)",1,House,"#LOWER -83 TEMPERANCE ST|Aurora, Ontario L4G2R1","$1,095/Monthly",Single Family,Freehold,
19,"Amazing One Den/ Shared Kitchen & Bathroom / 1+1 Bedroom Condo Unit In A Sought After Neighborhood With Beautiful South Facing Views, In Walking Distance To Public Transit, Bars, Restaurants And Shops. The Building Is Full Of Amenities Including Gym, Study, & Party Room! The Price Is For The Den Only , (This Unit Is A Shared Unit)**** EXTRAS **** Stainless Steel Fridge, Stove, Hood Fan, Dishwasher, Microwave & Stacked Washer/Dryer, All Elf's  Bedroom Tenant Stays,24 Hour Notice (30460713)",1 + 1,Apartment,"#3609DEN -181 DUNDAS ST E|Toronto, Ontario M5A0N5","$1,100/Monthly",Single Family,Condominium/Strata,
20,"Beautiful Ground Level One Bedroom Suite Available In A Semi-Detached Home In Most Desirable Area In Maple. It Is Close To Canada's Wonderland, Vaughan Mills, Hwy 400, Go Station, Auro Centre And New Health Centre. Suit For Single Or Couple.1 Parking Space Included And Separated Entrance, Landlord Prefer To Find A Lady Tenant.**** EXTRAS **** Fridge, Stove, Shared(Washer, Dryer)With Owner. No Pets Or Smoker (30439617)",1,House,"17 COAST AVE|Vaughan, Ontario L6A3Y1","$1,100/Monthly",Single Family,Freehold,1
21,"Bright & Spacious Rare Basement Bachelor Apartment, Located In A High Demand Area In York University Tribute Village Community Is Available Starting September 1st. Chic And Stylish With A Contemporary Design, Open Concept Living, Newly Installed Laminate Floors, Freshly Painted, Three-Pc Bath And Modern Appliances. This Magnificent Suite Is Walking Distance To York University, Ttc, Viva And Is In Close Proximity To Yorkdale Mall And Major Highways.**** EXTRAS **** Utilities Included. Fridge, Cook Top, Shared Washer/Dryer (Basement Level).  Wifi Included. Private Entrance (30449089)",0 + 1,Row / Townhouse,"#B2 -13 HERZBERG GDNS|Toronto, Ontario M3J3P5","$1,150/Monthly",Single Family,Freehold,
22,"Location, Location, Location. Cozy One Bedroom Lower Level Unit In High Demand Area. Just Steps To Ttc Transit, Shopping, Resturants, Boutiques And Parks**** EXTRAS **** Stove, Refrigerator, Washer (Coin)/ Dryer. Rent Includes Water And Heat (30421320)",1,House,"#BSMT -369 MARGUERETTA ST|Toronto, Ontario M6H3S6","$1,150/Monthly",Single Family,Freehold,
23,"Spacious Basement Apartment. Ideal For A Couple, Small Family, Single Person Or Students. Steps To Elementary School, Ttc. Close To 401, 407, Shopping, Places Of Worships, Doctors' Office And More. Very Family Orientated Neighborhood.**** EXTRAS **** Fridge, Stove Washer, Dryer. Utilities: 30%. (30383678)",1,House,"#BSMT -115 OASIS BLVD|Toronto, Ontario M1X0B4","$1,200/Monthly",Single Family,Freehold,
24,"Great Opportunity To Rent A Fully Renovated Room In Prime Old Cabbagetown 3 Storey Detached Property. Large Window, Free High-Speed Internet, Fitness Room, Gaming/Tv Room, Laundry Room, Modern Kitchen For Each Fl, New Bathroom, 2nd & 3rd Fl Deck, All-Inclusive Rent. Occupancy 9/1/2022, Desirable Downtown Living, Step To Ttc, Minutes To Subway, Coffee Shop, Restaurant, Supermarket, Hospital, All Amenities, And More *Females Only***** EXTRAS **** Brand New (6 Months Old) Very Conveniently Equipped And Designed. Ideal For Students, Professionals, Downtown Lovers, Hi-Speed Internet, Hydro, Water, Heating, Cooling Included (30356461)",1,House,"#203 -206 CARLTON ST|Toronto, Ontario M5A2L1","$1,200/Monthly",Single Family,Freehold,
25,"Private Office Space Available In 24/7 Access Co-Working Environment Located In Prime Bloor-West Baby Point Bia, Toronto! Office Has Everything To Run Your Business, Including Furniture! Ttc Transit Runs Right In Front, Jane & Bloor Subway Is Just South Of Office, Easy Access To 401 And Gardiner. Great Location For You And Your Clients. Neighbourhood Has Lots Of Shops And Restaurants With Variety Of Cuisine. Lots Of Parking On Jane.**** EXTRAS **** Incl: Wifi, Big L-Shape Desk, Shelves W/Filing Cabinet, Glass Table & Chairs, Phone, Printing Services, 15 Hrs/Mth Boardroom Use, Reception, Shared Kitchen & Apps, Bev. Fridge W/Drinks, Coffee/Tea Supplied. Key Card Access After Hours. (29554887)",,Other,"#6 -347 JANE ST|Toronto, Ontario M6S3Z3","$1,200/Monthly",Single Family,,
26,"Amazing And Cozy Studio/Bachelor Apartment. Bright & Spacious, Lots Of Natural Light, Saturated On A Quiet Street, Close To Everything, Walking Distance To Ttc, Shopping, Sports Centers, And So Much More Features.**** EXTRAS **** Fridge, Stove. Tenant Pays 35% Of Hydro And 13% Of The Water & Gas Bills. Parking Is Not Included But Is Available For An Additional Cost (30154231)",0,Triplex,"#A -73 TWENTY FOURTH ST|Toronto, Ontario M8V3N7","$1,200/Monthly",Single Family,,
27,"GREAT OPPORTUNITY TO RENT A FULLY RENOVATED ROOM IN PRIME OLD CABBAGETOWN 3 STOREY DETACHED PROPERTY. LARGE WINDOW, Free HIGH-SPEED INTERNET, FITNESS ROOM, GAMING/TV ROOM, LAUNDRY ROOM, MODERN KITCHEN FOR EACH FL, NEW BATHROOM, 2ND & 3RD FL DECK, ALL-INCLUSIVE RENT. OCCUPANCY 9/1/2022, DESIRABLE DOWNTOWN LIVING, STEP TO TTC, MINUTES TO SUBWAY, COFFEE SHOP, RESTAURANT, SUPERMARKET, HOSPITAL, ALL AMENITIES, AND MORE. (65045305)",1 + 0,House,"206 CARLTON Street Unit# 104|Toronto, Ontario M5A2L1","$1,200/Monthly",Single Family,Freehold,2
28,"Great Opportunity To Rent A Fully Renovated Room In Prime Old Cabbagetown 3 Storey Detached Property. Large Window, Free High-Speed Internet, Fitness Room, Gaming/Tv Room, Laundry Room, Modern Kitchen For Each Fl, New Bathroom, 2nd & 3rd Fl Deck, All-Inclusive Rent. Occupancy 9/1/2022, Desirable Downtown Living, Step To Ttc, Minutes To Subway, Coffee Shop, Restaurant, Supermarket, Hospital, All Amenities, And More.**** EXTRAS **** Brand New (6 Month Old) Very Conveniently Equipped And Designed. Ideal For Students, Professionals, Downtown Lovers, Hi-Speed Internet, Hydro, Water, Heating, Cooling Included (30462251)",1,House,"#104 -206 CARLTON ST|Toronto, Ontario M5A2L1","$1,200/Monthly",Single Family,Freehold,
29,"Fully New Built One Bedroom Basement In Very Quiet Neighborhood, With Separate Entrance In A Convenient Location. Spacious Layout With Full Kitchen, Bathroom & Bedroom. Quiet And Family Friendly Neighborhood, Transit Accessible, Landlord Prefers Non-Smokers And No Pets.**** EXTRAS **** Fridge, Stove, Tenant Will Need To Have Tenant Liabilities Insurances. (30063529)",1,House,"13 CULLODEN CIRC|Toronto, Ontario M1C0E9","$1,200/Monthly",Single Family,Freehold,
30,"Sought After Location. Walking Distance To Hospital, Subway, Parks, Schools, Shops On Danforth, And Many More. It Best Suits A Professional Or A Couple Who Are Looking For Affordable Accommodation. Please Forward Your Offer To Mehran@Searchrealty.Ca With At Least 24 Hours Of Irrevocability. The Tenant Is Expected To Pay His/Her Share Of Utility.**** EXTRAS **** Fridge, Stove, Some Furniture E.G. Couch, Single Bed With Frame, Tables, And Bookcase As-Is, Where-Is. Private Washer And Dryer. If You Need Parking On The Private Driveway, You Can Rent It For $100/M. Otherwise Free On The Street. (30186473)",0 + 1,House,"#LOWER -258 GLEBEMOUNT AVE|Toronto, Ontario M4C3T8","$1,200/Monthly",Single Family,Freehold,
31,Nice And Clean One-Bedroom Basement Apartment With A Separate Washroom And Kitchen In The Nice And Quiet Neighborhood. Close To Everything. The Tenant In This Apartment Will Pays 20% Of All The Utilities.**** EXTRAS **** With Fridge And Stove (30229267),1,Other,"192 BOGERT AVE AVE|Toronto, Ontario M2N1K9","$1,200/Monthly",Single Family,,
32,"Luxury Vox Condo 35th Floor 2Br+1Den 2Bath.Super Convenient Location! Less Than 50M To Yonge/Wellesley Subway Station. 24/7 Concierge. Fully Equipped Gym & Terrace. Walks To Uoft, Ryerson/Tmu & Eaton Centre! Great Layout With 2 Br+1 Den With All Furniture Provided. Corner Unit. Bright Floor-To-Ceiling Windows Overlooking The Unobstructed South View From 90Sf Huge Balcony, Den & 2nd Bedroom! **Den Available For Lease And Looking For Only One Male Tenant, Share 2nd Bathroom.**** EXTRAS **** European Appliances, Scavolini Designer Kitchen, Marble Counter Top In Washroom, En-Suite Stacked Washer/Dryer. Existing Light Fixtures & Window Coverings. Fantastic Condo Amenities, Gym, Theatre Room, Billiards, Party Room, Garden Terrace. (30454483)",2 + 1,Apartment,"#3504 -28 WELLESLEY ST E|Toronto, Ontario M4Y0C4","$1,200/Monthly",Single Family,Condominium/Strata,
33,"Excellent  Location With Newly Renovated 1 Large Bedroom Basement For Rent? Located In A Safe And Quiet Neighborhood. Full Bathroom,Spacious Space With Separate Exclusive Entrance,Nice Neighborhood Minutes From Markville Mall, Pacific Mall And Supermarkets, Community Center. ** This is a linked property.** **** EXTRAS **** Fridge, Stove, Range Hood, Washer, Dryer, All Light Fixtures, All Window Coverings. (30298915)",1,House,"#BSMT -34 FORBES CRES|Markham, Ontario L3R6S5","$1,200/Monthly",Single Family,Freehold,
34,"A Nature Lover's Paradise With The Rouge River Just Across The Street. You Won't Believe You Are Minutes From Shops, Schools, Parks & Main St. This Is A Brand New 1 Bedroom Basement Apartment. Renovated Throughout With Living, Kitchen And 3Pc Bath. Private Deck & Huge Yard. You Will Love The Serenity This Location Has To Offer!**** EXTRAS **** Fridge, Washer & Dryer. Tenant Pays 30% Of Utilities. (30302499)",1,House,"#BSMT -22 MILL ST|Markham, Ontario L3P1K9","$1,200/Monthly",Single Family,Freehold,
35,"Prime Location, 1 Bedroom Basement Unit With Separate Entrance, 4 Pc Bathroom, Upgraded Windows, One Parking Spot Available. Ttc, Shopping: Nofrills, Centre Point And More, Tenants Pays 1/4 Of The Utilities, No Pets, No Smoking. Good For A Couple, Must Follow Covid-19 Protocol, Wear Mask, Sanitize.**** EXTRAS **** Fridge Stove Shared Washer & Dryer. (30344834)",1,House,"#BSMT -122 GOULDING AVE|Toronto, Ontario M2M1L6","$1,200/Monthly",Single Family,Freehold,1
36,"Basement Unit W/O To Street In This Beautiful Victorian House With A Beautiful Curb Appeal. Nestled On Queens Dr. In Charming Weston Village With Lots Of Mature Trees. One Bed, 1(3Pc)Bathrooms And Convenient With A Walk Out To The Street Accessible Only For The Basement Unit. Lots Of Natural Light With Windows Above Ground.**** EXTRAS **** Fridge, Microwave, Elf. Min. 1 Yr Lse. Certified First And Last Month's Deposit.Attach Schedule B And Rental Application With All Offers. Book On Line Appointments, Tenant Ins., Work Letter, Pay Stubbs, Credit Check With Beacon Score Requir (30401425)",1,Fourplex,"#BASEMEN -64 QUEENS DR|Toronto, Ontario M9N2H6","$1,200/Monthly",Single Family,,
37,"Great Opportunity To Rent A Fully Renovated Room In Prime Old Cabbagetown 3 Storey Detached Property. Large Window, Free High-Speed Internet, Fitness Room, Gaming/Tv Room, Laundry Room, Modern Kitchen For Each Fl, New Bathroom, 2nd & 3rd Fl Deck, All-Inclusive Rent. Occupancy 9/1/2022, Desirable Downtown Living, Step To Ttc, Minutes To Subway, Coffee Shop, Restaurant, Supermarket, Hospital, All Amenities, And More.**** EXTRAS **** Brand New (6 Month Old) Very Conveniently Equipped And Designed. Ideal For Students, Professionals, Downtown Lovers, Hi-Speed Internet, Hydro, Water, Heating, Cooling Included (30462251)",1,House,"#104 -206 CARLTON ST|Toronto, Ontario M5A2L1","$1,200/Monthly",Single Family,Freehold,
38,"Sought After Location. Walking Distance To Hospital, Subway, Parks, Schools, Shops On Danforth, And Many More. It Best Suits A Professional Or A Couple Who Are Looking For Affordable Accommodation. Please Forward Your Offer To Mehran@Searchrealty.Ca With At Least 24 Hours Of Irrevocability. The Tenant Is Expected To Pay His/Her Share Of Utility.**** EXTRAS **** Fridge, Stove, Some Furniture E.G. Couch, Single Bed With Frame, Tables, And Bookcase As-Is, Where-Is. Private Washer And Dryer. If You Need Parking On The Private Driveway, You Can Rent It For $100/M. Otherwise Free On The Street. (30186473)",0 + 1,House,"#LOWER -258 GLEBEMOUNT AVE|Toronto, Ontario M4C3T8","$1,200/Monthly",Single Family,Freehold,
39,"**Big Bedroom, Big Living Room, Beautiful Computer Work Space, Beautiful Kitchen And Dining Room, Beautiful Laminated Floor, Your Own Personal Washing Machine/Dryer(Not Shared)** **Total Privacy** **Non Smoker, No Pets Please****** EXTRAS **** Fridge, Stove, Washer/Dryer Tenant Pays 1/3 Gas & Hydro, Utilities **Only Triple """"A"""" Tenant** **Will Not Be Disappointed** (30104498)",1,House,"19 CANDLEBROOK CRES|Toronto, Ontario M1W4B3","$1,250/Monthly",Single Family,Freehold,
40,"Beautiful Detached House Located In High Demand Bayview/Major Mack Area, Walk To Go Station, Public Transit At Door, Bayview Secondary And Catholic Schools, Parks, Shopping.**** EXTRAS **** Fridges, Range Hood, Washer & Dryer, Stoves (30425974)",2,House,"#BSMT -314 PALMER AVE|Richmond Hill, Ontario L4C1P3","$1,250/Monthly",Single Family,Freehold,5
41,"To Lease Approximately 650 Square Feet Basement Apartment Ready To Move In Open Concept. One Bed Room Ensuite Laundry In Basement And Separate Entrance Cul De Sac And Nice And Quiet Neighborhood.**** EXTRAS **** Fridge, Stove, Washer & Dryer (30354153)",1,House,"#BSMT -749 SWAN  PL|Pickering, Ontario L1X2V8","$1,250/Monthly",Single Family,Freehold,2
42,"Bright Gorgeous Newly Finished Walkout Basement Bachelor Unit In High Demand Area Of Patterson In Vaughan With Lots Of Natural Light Close To Library, Go Train, Shopping Center & Schools.**** EXTRAS **** Fridge, Stove, Counter Top Microwave, Shared Laundry. Tenant Pays 1/3 Of The Utilities. (30446346)",0,Other,"110 WHITE BEACH CRES|Vaughan, Ontario L6A0R2","$1,250/Monthly",Single Family,,
43,"Freshly Painted, Clean Basement Apartment With Private Separate Entrance And Own Laundry! No Carpet! 6 Minute Walk To Bus Stop - Route 69 Takes You To Warden Subway Station, While Route113 Takes You To Main Station, Connecting To Go Train Gets You To Union Station In 14 Minutes. Walking Distance To Sun Valley Grocery Store And Birchmount Plaza. Quiet Neighbourhood, Close To Danforth Gardens Park And Albert Campbell Public Library.**** EXTRAS **** **Utilities Included (Heat, Water, Air Conditioning, Hydro) ** Fridge, Stove, Hood Fan, Full Sized Washer & Dryer, All Window Coverings. Decent Ceiling Height Throughout. No Parking On Driveway, 3 Hour Max Street Parking. (30432299)",1,House,"#BSMT -80 NORTH EDGELY AVE|Toronto, Ontario M1K1T7","$1,250/Monthly",Single Family,Freehold,
44,"7 Min Walk To Warden Station, 20 Min Subway To Uoft St George Campus,50Min Ttc To Uof T Scarborough Campus  Close To Centennial College, Satec @ W A Porter High School, Library Supermarket Nearby, New Renovation, Above Ground Lookout Window.  Students, Professionals Workers Prefer Job Ltr, Id, Credit Check Rental Application Required.No Smoke/No Pets,Pls See Disclosure For More Information (30438299)",0 + 3,Other,"#BSMT -16 TRINNELL BLVD|Toronto, Ontario M1L1S5","$1,250/Monthly",Single Family,,
45,"1 Bedroom Apartment In The High Demand Community! This Spacious Apartment Features Separate/Ensuite Laundry, 1 Parking Space. Close To Hwy 401, Pickering Go Station And Pickering Town Centre. Close To All The Amenities.**** EXTRAS **** Fridge, Stove, Separate Washer & Dryer. One Parking On Driveway. Ensuite Laundry (30172794)",1,Other,"#LOWER -1874 FAIRPORT RD|Pickering, Ontario L1V1T4","$1,250/Monthly",Single Family,,
46,"This Exquisitely Finished Bungalow In High-Demand Danforth Village Boasts An Impressive Lot With Completely Finished Basement Unit W/ Sep Side Entrance. Backsplash & Appl., Radiant Heat. Upgraded Full Baths. Backyard Is Exclusive To Main Floor Tenant.  50% Of Utilities. Private Laundry. Space Is Unfurnished. Ceiling Height Is 6'1"""" And 5'5"""" Were Bulk Head Is Located. Tenant Needs To Be Shorter Then 5'5"""".**** EXTRAS **** Excellent Schools, Farmers Market, Shopping & Convenient Access To Ttc, Parks & Trails, Vibrant Danforth, Hospital, Dvp. *For Additional Property Details Click The Brochure Icon Below* (29633120)",1,House,"#BSMT -59 BARKER AVE|Toronto, Ontario M4C2N5","$1,275/Monthly",Single Family,Freehold,
47,"Beautifully Renovated Detached Home With Large Backyard! Pot Lights Throughout! Plenty Of Parking Spaces! Minutes To The 401, Close To Parks & Schools.**** EXTRAS **** Stainless Steel Fridge, Stoves, Washer, Dryer. (30408359)",0,Other,"747 GIFFORD ST|Oshawa, Ontario L1H4W1","$1,275/Monthly",Single Family,,
48,"Amazing Opportunity To Rent, Close To 401, Shopping, Parks, Transit And More. Separate Entrance Apartment With Ensuite Laundry, A Parking Spot On The Driveway. No Smoking, No Pets, Tenant To Pay 30% Utilities.**** EXTRAS **** All Offers With Updated Credit Check Report, Rental Application, Employment Letter & References. Must Certify First & Last Deposit. (30314099)",1,House,"2047 SHAY DR|Pickering, Ontario L1X1Y1","$1,275/Monthly",Single Family,Freehold,3
49,"Brand New 1 Bedroom Loft With All New Renovations. New Flooring And Fresh Paint Through Out. Lots Of Natural Light. Lovely Kitchen With Stainless Steel Appliances. Bathroom With Modern Finishes And Walk In Shower. On Site Laundry. Parking For 1 Included. There Are 2 Entrances To The Unit - Front Of The House And Rear Fire Escape.**** EXTRAS **** Hydro To Be Paid By Tenant, Parking, Water And Gas Are Included In Monthly Rental Amount. Includes Use Of Fridge, Stove, Washer, Dryer And Dishwasher. (30269528)",1,House,"#3 -193 WENTWORTH ST N|Hamilton, Ontario L8L5V6","$1,295/Monthly",Single Family,Freehold,
